cancer_type,normal-mean,cancer-mean,n_normal,n-cancer,p-value,significance_level
LUAD,1671.0705978395254,2168.1545768659457,59,535,0.5687262558031161,ns
LUSC,1863.028323461,4792.890710932681,49,502,0.004740791492543493,**
