cancer_type,normal-mean,cancer-mean,n_normal,n-cancer,p-value,significance_level
LUAD,1428.39357493739,3082.5178909772562,59,535,0.017697395919821553,*
LUSC,1962.6150431186327,1739.2460896374623,49,502,0.5819956684845088,ns
