cancer_type,normal-mean,cancer-mean,n_normal,n-cancer,p-value,significance_level
LUAD,780.9274167572033,148.94591621685458,59,535,1.2338647720244129e-21,****
LUSC,793.9143570941532,139.73109706697173,49,502,1.5840516536061063e-11,****
